slice,38_SS.1,90_DD.1,96_DS.1,70_SD.1,86_DS.1,95_DS.1,25_SD.1,83_DD.1,94_DD.1,39_SS.1,35_SS.1,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
91,176.93,191.553,173.701,163.446,165.025,190.26,164.906,170.074,170.716,151.308,201.151,173.085,178.302,154.387,153.941,171.334,183.895,165.297,174.117,155.614,172.18,192.172,193.878,145.246,143.649,179.162,175.521,184.905,174.59
92,177.003,191.671,175.014,164.39,164.473,189.731,166.031,169.928,170.099,151.616,201.105,172.73,178.541,154.742,154.044,171.444,183.663,165.14,174.017,155.492,172.383,192.41,194.949,145.953,144.53,179.586,176.288,185.563,174.692
93,177.006,192.15,176.556,165.461,164.229,189.714,166.715,169.896,169.427,151.757,201.294,172.119,178.588,155.245,154.274,171.183,183.31,164.689,174.152,155.59,172.624,192.568,195.716,146.293,145.349,179.799,177.305,185.985,174.805
94,176.894,192.897,177.659,166.696,163.885,189.621,167.028,169.56,168.922,152.117,201.897,171.371,178.65,155.305,154.351,170.761,183.015,164.178,174.315,155.68,172.937,192.492,196.575,146.609,146.128,180.217,178.262,185.821,174.617
95,176.753,193.43,178.328,167.679,163.51,189.587,167.146,169.324,168.624,152.441,202.316,170.574,178.835,155.11,154.735,170.163,183.036,163.8,174.612,155.595,173.117,192.579,197.467,146.681,146.661,180.967,178.811,185.32,174.496
96,176.603,193.663,178.251,168.745,163.093,189.386,167.212,169.265,168.767,152.648,202.748,170.004,178.726,155.85,155.188,169.481,182.901,163.538,174.908,155.574,173.276,192.336,198.357,146.768,147.169,181.615,179.315,185.004,174.256
97,176.512,193.688,177.585,169.49,162.569,189.246,167.048,168.913,168.829,152.757,203.733,169.758,178.459,157.181,155.616,168.766,182.504,163.374,175.217,155.863,173.421,192.048,198.867,146.946,147.556,182.326,180.36,184.751,173.89
98,176.454,193.495,177.321,170.21,161.935,189.345,167.446,168.79,168.791,153.149,204.129,169.422,178.012,158.218,156.053,167.717,182.5,163.171,175.261,155.978,173.878,191.847,198.855,147.103,148.191,183.224,181.447,185.065,173.526
99,176.168,193.327,177.571,170.606,161.138,189.325,167.658,168.615,169.005,153.639,204.028,169.57,177.396,159.816,156.452,166.533,182.384,163.265,175.332,155.844,174.075,191.648,198.712,147.143,149.021,184.2,182.069,185.468,173.445
100,175.802,193.284,178.011,170.792,160.155,189.158,168.082,168.146,169.378,154.017,204.097,169.913,176.707,161.563,156.911,165.47,182.651,163.638,175.553,155.737,174.105,191.33,198.635,147.497,149.643,185.355,182.556,185.672,173.488
101,175.457,193.002,178.123,171.075,159.217,189.024,168.776,167.911,169.772,154.578,204.127,170.342,176.17,162.864,157.328,164.969,183.021,164.061,175.801,155.844,174.406,191.383,198.507,148.066,150.389,186.24,182.914,186.154,173.551
102,175.122,192.605,178.74,171.288,158.371,188.895,169.408,167.645,169.954,154.874,204.202,170.771,175.609,163.569,157.777,164.34,183.429,164.362,175.799,155.855,174.69,191.989,198.326,148.895,151.372,186.943,183.358,186.524,173.488
103,174.74,192.479,179.995,171.446,157.745,188.601,169.993,167.148,170.032,154.713,204.127,171.436,174.978,164.137,158.172,164.002,183.95,164.379,175.672,155.701,174.666,192.604,198.379,150.172,152.353,187.429,183.824,187.01,173.275
104,174.389,191.955,180.664,171.495,157.003,188.556,170.721,166.768,169.86,154.44,203.996,172.577,174.588,164.227,158.717,163.849,184.188,164.74,175.682,155.502,174.42,193.113,198.266,151.547,152.852,187.674,184.459,187.472,173.161
105,174.167,191.597,180.79,171.653,156.273,188.704,171.135,166.119,170.055,154.437,203.492,173.491,174.381,164.138,159.186,164.299,184.398,165.306,175.509,155.225,174.346,193.594,198.283,152.368,153.23,187.792,185.059,188.11,173.459
106,173.951,191.134,180.995,171.832,155.66,188.687,171.533,165.439,170.128,154.549,202.864,173.99,174.369,164.138,159.767,164.409,184.555,165.69,175.215,154.921,174.151,194.06,198.54,152.892,153.577,188.042,185.724,188.848,174.498
107,173.763,190.613,181.033,172.075,154.975,188.865,172.022,165.152,170.464,154.82,202.395,174.272,174.771,164.765,160.297,164.16,184.667,165.955,174.809,154.575,174.059,194.082,199.051,153.036,153.639,188.248,186.421,189.115,175.53
108,173.8,189.994,180.948,172.371,154.33,189.208,172.376,164.892,170.898,155.012,202.377,174.752,175.144,165.855,160.943,164.223,185.336,165.669,174.62,154.117,174.046,193.634,199.946,153.122,153.597,188.512,186.929,189.33,176.233
